valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
0.492,0.4115,0.4235,0.35,0.3815,0
0.4414999999999999,0.41175,0.42675,0.267,0.396,0
0.483,0.352,0.418,0.348,0.371,0
0.4814999999999999,0.3785,0.3834999999999999,0.3269999999999999,0.4004999999999999,0
0.48975,0.4545,0.3745,0.3075,0.3855,0
0.4975,0.3735,0.4435,0.3535,0.39,0
0.503,0.445,0.347,0.342,0.3779999999999999,0
0.4816666666666667,0.443,0.4756666666666667,0.2793333333333333,0.3963333333333332,0
0.495,0.4144,0.402,0.3303999999999999,0.3631999999999999,0
0.479,0.424,0.418,0.3025,0.4225,0
0.502,0.516,0.3984999999999999,0.344,0.3705,0
0.50925,0.44975,0.4337500000000001,0.34675,0.3955,0
0.4815,0.4479999999999999,0.4589999999999999,0.3085,0.412,0
0.513,0.424,0.4429999999999999,0.365,0.409,0
0.5057499999999999,0.4335,0.40975,0.31925,0.36925,0
0.514,0.372,0.389,0.304,0.3229999999999999,0
0.504,0.4543333333333333,0.3756666666666666,0.3246666666666666,0.3606666666666667,0
0.489,0.4679999999999999,0.366,0.262,0.365,0
0.485,0.3989,0.4037999999999999,0.2958999999999999,0.3877,0
0.489,0.376,0.397,0.291,0.3379999999999999,0
0.4634999999999999,0.4945,0.4108333333333334,0.3241666666666666,0.4258333333333333,0
0.49,0.366,0.415,0.335,0.369,0
0.524,0.423,0.3954999999999999,0.3325,0.3895,0
0.507,0.3429999999999999,0.358,0.43,0.31,0
0.5148571428571429,0.4027142857142857,0.3832857142857143,0.3354285714285714,0.3917142857142857,0
0.489,0.381,0.369,0.26,0.357,0
0.4956666666666667,0.4306666666666667,0.4059999999999999,0.3313333333333333,0.4040000000000001,0
0.496,0.395,0.395,0.3,0.385,0
0.515,0.4354285714285714,0.3941428571428572,0.3568571428571429,0.3847142857142857,0
0.4876666666666667,0.5373333333333333,0.3813333333333333,0.3026666666666666,0.4166666666666667,0
0.4704,0.4502,0.4158,0.2794,0.3696,0
0.4825,0.4525,0.4215,0.322,0.4025,0
0.4536666666666667,0.4146666666666667,0.481,0.3,0.4003333333333334,0
0.4367499999999999,0.43475,0.404,0.24375,0.38325,0
0.4982499999999999,0.4287499999999999,0.40125,0.3295,0.40825,0
0.4776000000000001,0.4221,0.3924999999999999,0.2864,0.3861,0
0.496,0.347,0.449,0.364,0.419,0
0.489,0.4805,0.4355,0.321,0.393,0
0.488,0.4195,0.3665,0.32825,0.3705,0
0.507,0.4333333333333333,0.4013333333333333,0.3186666666666667,0.3716666666666666,0
0.51,0.445,0.296,0.2689999999999999,0.3379999999999999,0
0.485,0.474,0.3939999999999999,0.3229999999999999,0.4039999999999999,0
0.4985,0.3409999999999999,0.3974999999999999,0.3165,0.326,0
0.507,0.326,0.36,0.3555,0.319,0
0.482,0.366,0.469,0.321,0.396,0
0.4439999999999999,0.413,0.4608,0.3006,0.3823999999999999,0
0.467090909090909,0.4410909090909091,0.3952727272727273,0.2898181818181818,0.3873636363636364,0
0.469,0.3874999999999999,0.425,0.3015,0.36,0
0.519,0.425,0.359,0.264,0.3829999999999999,0
0.505,0.45,0.41,0.336,0.3939999999999999,0
0.489,0.414,0.48,0.21,0.38,0
0.498,0.4385,0.4245,0.3025,0.4004999999999999,0
0.48,0.356,0.3939999999999999,0.259,0.413,0
0.513,0.41,0.355,0.3206666666666667,0.3493333333333333,0
0.51,0.42,0.405,0.379,0.437,0
0.4764285714285714,0.4324285714285714,0.4231428571428572,0.303,0.3874285714285714,0
0.494,0.4755,0.3655,0.3275,0.3864999999999999,0
0.4649999999999999,0.48,0.395,0.3365,0.4335,0
0.5045000000000001,0.4590000000000001,0.408,0.2905,0.397,0
0.487,0.319,0.445,0.352,0.3429999999999999,0
0.4975,0.5235,0.405,0.3269999999999999,0.3814999999999999,0
